portfolioId,Ticker,Name,NAV,Change,YTD,Ccy,1Y,Incept
237595,-,BlackRock ASEAN Leaders Fund,10.68,0.09,7.89,USD,7.89,1.20
244083,-,BlackRock Asia Pacific Equity Income Fund,15.89,0.38,29.11,GBP,29.11,50.80
229019,-,BlackRock Asia Pacific Equity Income Fund,16.32,-0.24,7.94,USD,7.94,53.60
260981,-,BlackRock Asia Pacific Equity Income Fund,10.06,-0.30,6.75,EUR,6.75,2.84
229020,-,BlackRock Asia Pacific Equity Income Fund,100.91,-0.27,7.99,HKD,7.99,55.52
229021,-,BlackRock Asia Pacific Equity Income Fund,13.01,-0.23,5.72,USD,25.00,62.54
228311, ,BlackRock Asia Pacific Equity Income Fund,12.36,-0.24,7.69,SGD,7.69,47.39
229022,-,BlackRock Asia Pacific Equity Income Fund,13.65,-0.29,7.98,USD,7.98,23.91
230090,-,BlackRock Asia Pacific Equity Income Fund,106.53,-0.26,5.71,HKD,24.49,29.74
251626,-,BlackRock Asia Pacific Equity Income Fund,13.32,-0.22,8.37,AUD,8.37,6.57
270026,-,BlackRock Asia Pacific Equity Income Fund,95.45,-0.23,13.07,ZAR,13.07,8.02
229023,-,BlackRock Asia Pacific Equity Income Fund,11.94,-0.25,5.60,USD,23.45,48.31
