portfolioId,Ticker,Name,NAV,Change,YTD,Ccy,1Y,Incept
229026,-,BlackRock Asia Pacific Equity Income Fund,11.34,-0.26,5.61,SGD,23.29,40.53
229028,-,BlackRock Asian Dragon Fund,33.06,0.64,11.65,EUR,11.65,224.61
229399,-,BlackRock Asian Dragon Fund,28.53,0.78,29.38,GBP,29.38,214.15
229029,-,BlackRock Asian Dragon Fund,35.60,0.17,8.24,USD,8.24,78.29
260723,-,BlackRock Asian Dragon Fund,12.26,0.16,8.75,AUD,8.75,14.40
279268,-,BlackRock Asian Dragon Fund,11.87,-0.67,5.95,CHF,24.12,15.80
279261,-,BlackRock Asian Dragon Fund,11.97,-0.66,6.09,EUR,24.79,16.80
285325,-,BlackRock Asian Dragon Fund,101.42,0.16,-,PLN,-,-
262692,-,BlackRock Asian Dragon Fund,11.45,0.17,7.86,SGD,7.86,7.00
229030,-,BlackRock Asian Dragon Fund,27.46,0.77,29.36,GBP,29.36,225.07
229402,-,BlackRock Asian Dragon Fund,25.91,0.62,3.68,EUR,25.26,146.07
229403,-,BlackRock Asian Dragon Fund,27.90,0.14,6.09,USD,24.74,162.62
244060,-,BlackRock Asian Growth Leaders Fund,16.40,-0.30,6.40,USD,6.40,52.90
270819,-,BlackRock Asian Growth Leaders Fund,11.95,-0.25,6.81,AUD,6.81,11.30
