portfolioId,Ticker,Name,NAV,ChangePercent,ChangePercentYTD,Ccy,1Y,Incept,,,
271031,IHOO,iShares Global 100 AUD Hedged ETF,109.74,-0.10,5.67,Australian Dollar,21.30,25.84,,,
273428,IOO,iShares Global 100 ETF,109.01,1.51,0.86,Australian Dollar,17.64,15.48,,,
273429,IXI,iShares Global Consumer Staples ETF,134.09,0.90,2.04,Australian Dollar,5.05,142.71,,,
273430,IXJ,iShares Global Healthcare ETF,136.45,0.71,2.85,Australian Dollar,9.43,79.91,,,
275248,IHHY,iShares Global High Yield Bond (AUD Hedged) ETF,106.92,0.09,2.04,Australian Dollar,13.28,14.20,,,
273431,IXP,iShares Global Telecom ETF,78.37,0.42,-4.29,Australian Dollar,-0.08,41.58,,,
251978,ILB,iShares Government Inflation ETF,115.10,-0.14,1.15,Australian Dollar,0.40,22.43,,,
275254,IHEB,iShares J.P. Morgan USD Emerging Markets Bond (AUD Hedged) ETF,106.63,0.25,3.78,Australian Dollar,8.76,13.77,,,
273392,IBK,iShares MSCI BRIC ETF,48.05,0.35,5.81,Australian Dollar,23.54,-11.07,,,
273432,IVE,iShares MSCI EAFE ETF,83.78,1.95,1.78,Australian Dollar,12.54,45.38,,,
273417,IEM,iShares MSCI Emerging Markets ETF,52.51,0.43,5.66,Australian Dollar,17.53,244.84,,,
273433,IHK,iShares MSCI Hong Kong ETF,29.50,-0.46,7.54,Australian Dollar,17.06,217.97,,,
273434,IJP,iShares MSCI Japan ETF,68.23,-0.35,-0.94,Australian Dollar,14.87,7.91,,,
273435,ISG,iShares MSCI Singapore Capped ETF,29.93,-0.02,7.67,Australian Dollar,10.11,76.71,,,
273436,IKO,iShares MSCI South Korea Capped ETF,81.52,0.45,10.15,Australian Dollar,19.49,170.91,,,
273437,ITW,iShares MSCI Taiwan Capped ETF,43.80,-0.18,6.07,Australian Dollar,23.10,-1.62,,,
275305,IRU,iShares Russell 2000 ETF,183.63,0.72,-2.73,Australian Dollar,27.31,174.05,,,
271027,IHVV,iShares S&P 500 AUD Hedged ETF,301.01,-0.26,5.95,Australian Dollar,18.00,27.74,,,
275304,IVV,iShares S&P 500 ETF,315.34,0.50,0.67,Australian Dollar,18.10,68.12,,,
273425,IJH,iShares S&P Mid-Cap ETF,228.81,0.56,-1.36,Australian Dollar,21.82,244.34,,,
273426,IJR,iShares S&P Small-Cap ETF,92.14,0.67,-4.05,Australian Dollar,25.61,283.88,,,
251921,ILC,iShares S&P/ASX 20 ETF,24.08,0.34,4.93,Australian Dollar,21.59,62.63,,,
251922,IHD,iShares S&P/ASX Dividend Opportunities ETF,14.26,0.42,5.83,Australian Dollar,19.50,40.07,,,
251923,ISO,iShares S&P/ASX Small Ordinaries ETF,4.32,0.15,1.43,Australian Dollar,13.16,3.28,,,
251979,IGB,iShares Treasury ETF,103.19,-0.26,1.15,Australian Dollar,1.11,22.97,,,
286096,RBACASH,RBA Cash,-,-,-,Australian Dollar,-,-,,,
,,,,,,,,,,,
,,,,,,,,,,,
